,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
469,0,2,1,4,4,4,8,5,11,11,5,6
470,1,0,0,1,1,0,2,1,2,2,0,2
471,10,15,14,13,14,16,15,17,17,22,15,25
472,91,125,155,189,216,240,269,307,321,364,363,366
473,8,13,5,3,5,8,8,10,11,6,9,11
474,11,17,18,17,13,12,13,17,17,9,14,16
475,36,34,43,42,61,64,63,65,66,66,62,61
476,0,0,0,0,1,1,1,0,0,1,0,1
477,0,0,0,0,0,0,0,0,1,0,0,0
478,0,0,0,0,0,0,0,0,0,0,0,0
479,0,0,0,0,0,0,0,0,0,0,0,0
480,11,8,9,12,16,14,12,8,14,16,11,20
481,14,15,15,20,30,35,35,34,37,55,43,50
482,0,0,0,0,0,0,0,0,0,1,1,0
483,0,0,0,0,0,0,0,0,2,1,1,0
484,11,9,8,4,21,11,19,22,12,18,17,21
485,28,23,22,21,25,12,16,21,16,20,16,7
486,0,2,0,0,0,0,0,0,0,0,0,0
487,0,1,1,0,0,0,1,2,0,0,2,0
488,0,0,0,0,0,0,0,0,0,0,1,0
489,1,1,2,1,2,1,4,1,3,2,3,4
490,1,2,1,3,0,1,0,2,1,1,2,1
491,18,10,12,9,16,9,10,11,14,8,10,26
492,1,0,0,0,0,1,2,2,6,6,3,5
493,11,20,18,13,20,14,14,9,14,17,16,17
494,14,12,8,13,15,12,18,17,19,27,12,21
495,0,0,0,3,2,12,26,41,51,30,41,44
496,5,0,3,5,6,3,5,5,5,5,3,4
497,2,5,7,4,5,4,7,9,11,7,6,8
498,6,19,7,16,11,11,13,13,16,10,21,16
499,14,24,16,16,26,23,27,26,55,72,71,84
500,39,40,58,71,64,97,98,84,86,75,85,80
501,42,25,38,35,38,38,50,50,35,47,52,53
502,10,10,11,13,12,18,13,11,25,17,13,17
503,33,28,28,34,39,25,41,37,32,43,45,42
504,32,42,36,51,54,44,48,55,65,46,43,57
505,29,22,20,28,30,27,23,24,26,29,18,18
506,12,17,13,18,20,14,27,23,35,24,40,32
507,78,65,71,85,84,111,128,168,157,163,172,138
508,52,50,44,60,54,56,66,72,68,53,63,58
509,36,46,29,29,35,46,36,38,42,56,47,47
510,23,32,27,26,31,20,23,27,18,35,26,25
511,5,12,8,12,23,21,23,15,19,15,19,19
512,7,11,9,8,6,7,7,7,57,153,288,373
513,21,31,26,26,17,27,19,22,17,17,26,28
514,49,43,46,42,51,54,55,48,50,59,47,47
515,10,9,18,13,16,21,20,26,27,35,44,46
516,12,20,20,34,32,29,29,26,35,27,32,25
517,6,9,10,5,7,4,6,8,8,4,6,7
518,2,10,6,8,9,15,15,26,25,46,43,29
519,11,15,18,33,28,42,40,57,52,68,71,54
520,30,11,24,19,21,33,35,38,43,44,60,53
521,15,25,24,28,31,42,40,54,44,40,41,39
522,28,30,23,31,27,21,36,32,38,38,29,31
523,33,46,34,40,49,42,57,43,59,48,47,60
524,45,72,55,68,61,58,69,66,62,60,68,56
525,39,34,27,33,51,45,38,40,38,56,61,43
526,14,15,38,27,23,38,41,50,52,42,37,46
527,34,30,25,28,25,25,31,37,39,44,34,43
528,34,51,47,55,62,56,67,61,62,68,64,71
529,58,51,69,72,64,67,63,68,66,72,67,65
530,64,48,61,66,53,68,70,57,71,68,65,64
